メニュー,動画URL,video_id,投稿者,時間,食材,味,油感,特徴,詳細食材タグ,ingredient_categories
ねぎ塩豚チャーハン,https://www.youtube.com/watch?v=Bo6yoI0twAw,Bo6yoI0twAw,リュウジ,normal,豚肉、ご飯・米、卵、ネギ、にんにく、ショウガ,rich,4,一人暮らし,"pork,rice,egg,green_onion,garlic,ginger",肉類;米;卵;葉物野菜
うどん,https://www.youtube.com/watch?v=yTjDiaF8iOs,yTjDiaF8iOs,だれウマ料理研究家,easy,うどん、ネギ、昆布,light,1,"簡単,1人暮らし","udon,green_onion,kombu",麺;葉物野菜
麻婆豆腐,https://www.youtube.com/watch?v=Wepiai6qDOo,Wepiai6qDOo,オリーブオイルをひとまわし / オリひと,normal,挽肉、豆腐、ネギ、にんにく、ショウガ,rich,4,家族向け,"minced_meat,tofu,green_onion,garlic,ginger",肉類;豆腐・大豆系;葉物野菜
ハンバーグ,https://www.youtube.com/watch?v=mZ35vNSbTm0,mZ35vNSbTm0,Kurashiru [野永喜三夫],normal,挽肉、卵、玉ねぎ,rich,5,時間がかかる（主婦向け）,"minced_meat,egg,onion",肉類;卵;根菜
ガパオライス,https://www.youtube.com/watch?v=eHUidYolYZc,eHUidYolYZc,デリッシュキッチン,normal,挽肉、ご飯・米、卵、玉ねぎ、ピーマン、にんにく,rich,4,"簡単,1人暮らし","minced_meat,rice,egg,onion,bell_pepper,garlic",肉類;米;卵;根菜;葉物野菜
カルボナーラ,https://www.youtube.com/watch?v=XNg09znOMds,XNg09znOMds,Hideka cooking,normal,ベーコン、卵、パスタ、チーズ,semi-rich,2,"簡単,1人暮らし","bacon,egg,pasta,cheese",肉類;卵;麺;チーズ・バター・マヨ系
カレー,https://www.youtube.com/watch?v=3jjzjuhQGyQ,3jjzjuhQGyQ,Hideka cooking,normal,豚肉、じゃが芋、玉ねぎ、にんじん、カレールゥ,rich,2,家族向け,"pork,potato,onion,carrot,curry_roux",肉類;根菜
肉じゃが,https://www.youtube.com/watch?v=HNA26ppZtaM,HNA26ppZtaM,デリッシュキッチン,normal,牛肉、じゃが芋、玉ねぎ、にんじん、さやいんげん,light,2,"家族向け,","beef,potato,onion,carrot,green_bean",肉類;根菜;葉物野菜
やきそば,https://www.youtube.com/watch?v=alcNZJYcQPI,alcNZJYcQPI,デリッシュキッチン,easy,豚肉、中華麺、キャベツ、もやし,semi-rich,3,1人暮らし,"pork,noodles,cabbage,bean_sprouts",肉類;麺;葉物野菜
親子丼,https://www.youtube.com/watch?v=pyuR674BEvg,pyuR674BEvg,ちぇる ダイエット食堂,easy,鶏肉、ご飯・米、卵、玉ねぎ、ネギ,rich,4,主婦向け,"chicken,rice,egg,onion,green_onion",鶏肉;米;卵;根菜;葉物野菜
にら玉,https://www.youtube.com/watch?v=a_wSzFN6GHY,a_wSzFN6GHY,食事処さくらの料理教室,normal,卵、にら,semi-rich,2,"簡単,1人暮らし","egg,nira",卵;葉物野菜
餃子,https://www.youtube.com/watch?v=Wi3ygXTXm_A,Wi3ygXTXm_A,だれウマ【料理研究家】,normal,挽肉、キャベツ、にら、ネギ、ショウガ、にんにく,rich,4,"主婦向け,家族向け","minced_meat,cabbage,nira,green_onion,ginger,garlic",肉類;葉物野菜
チキンライス,https://www.youtube.com/watch?v=mq6lfh6jEPw,mq6lfh6jEPw,料理研究中クロッチ,normal,鶏肉、ご飯・米、玉ねぎ、卵,rich,3,"簡単,1人暮らし","chicken,rice,onion,egg",鶏肉;米;根菜;卵
ドリア,https://www.youtube.com/watch?v=Ff8K9ihIXbU,Ff8K9ihIXbU,まるみキッチン【簡単レシピ】,normal,挽肉、ご飯・米、玉ねぎ、チーズ、バター,rich,4,"簡単,1人暮らし,家族向け","minced_meat,rice,onion,cheese,butter",肉類;米;根菜;チーズ・バター・マヨ系
角煮,https://www.youtube.com/watch?v=Vpo1fOAk1vk,Vpo1fOAk1vk,まるみキッチン【簡単レシピ】,normal,豚肉、卵、ショウガ,rich,4,"家族向け,手間がかかる","pork,egg,ginger",肉類;卵
そぼろ丼,https://www.youtube.com/watch?v=M03wcSUbU6s,M03wcSUbU6s,せこまる食堂,easy,挽肉、ご飯・米、卵,rich,4,"簡単,1人暮らし","minced_meat,rice,egg",肉類;米;卵
チンジャオロース,https://www.youtube.com/watch?v=pVn7hU_ce8Q,pVn7hU_ce8Q,Koh Kentetsu Kitchen,normal,豚肉、ピーマン,rich,4,"簡単,1人暮らし","pork,bell_pepper",肉類;葉物野菜
和風パスタ,https://www.youtube.com/watch?v=OQvk8GM4fBE,OQvk8GM4fBE,ハマごはん【お手軽レシピ】,normal,ツナ、パスタ、ネギ、バター,light,2,"簡単,1人暮らし","canned_tuna,pasta,green_onion,butter",魚介;麺;葉物野菜;チーズ・バター・マヨ系
ジャーマンポテト,https://www.youtube.com/watch?v=GOJy3efz9Ag,GOJy3efz9Ag,Koh Kentetsu Kitchen,normal,ベーコン、じゃが芋、玉ねぎ、にんにく,semi-rich,2,"簡単,1人暮らし,家族向け","bacon,potato,onion,garlic",肉類;根菜
牛丼,https://www.youtube.com/watch?v=KZotqeFbr5s,KZotqeFbr5s,Koh Kentetsu Kitchen【料理研究家コウケンテツ公式チャンネル】,easy,牛肉、ご飯・米、玉ねぎ、ショウガ,rich,4,実在YouTube動画,"beef,rice,onion,ginger",肉類;米;根菜
豚丼,https://www.youtube.com/watch?v=x-HoFmZCtbw,x-HoFmZCtbw,Koh Kentetsu Kitchen【料理研究家コウケンテツ公式チャンネル】,easy,豚肉、ご飯・米、玉ねぎ、ショウガ,rich,4,実在YouTube動画,"pork,rice,onion,ginger",肉類;米;根菜
カツ丼,https://www.youtube.com/watch?v=7MZrDXzQpMI,7MZrDXzQpMI,みんなのごはん堂,easy,豚肉、ご飯・米、卵、玉ねぎ,rich,5,実在YouTube動画,"pork,rice,egg,onion",肉類;米;卵;根菜
天津飯,https://www.youtube.com/watch?v=5gtuGr1oY9g,5gtuGr1oY9g,料理研究家リュウジのバズレシピ,normal,ご飯・米、卵、ネギ,semi-rich,2,実在YouTube動画,"rice,egg,green_onion",米;卵;葉物野菜
オムライス,https://www.youtube.com/watch?v=LCAwgtAQY3g,LCAwgtAQY3g,Koh Kentetsu Kitchen【料理研究家コウケンテツ公式チャンネル】,normal,鶏肉、ご飯・米、卵、玉ねぎ、バター,semi-rich,2,実在YouTube動画,"chicken,rice,egg,onion,butter",鶏肉;米;卵;根菜;チーズ・バター・マヨ系
タコライス,https://www.youtube.com/watch?v=EbPb0CO8hyg,EbPb0CO8hyg,旦那の晩ごはん,normal,挽肉、ご飯・米、トマト、レタス、チーズ,semi-rich,2,実在YouTube動画,"minced_meat,rice,tomato,lettuce,cheese",肉類;米;葉物野菜;チーズ・バター・マヨ系
ビビンバ,https://www.youtube.com/watch?v=9f83eJ1X7Bo,9f83eJ1X7Bo,料理研究家リュウジのバズレシピ,normal,挽肉、ご飯・米、卵、にんじん、ほうれん草、もやし、にんにく,semi-rich,2,実在YouTube動画,"minced_meat,rice,egg,carrot,spinach,bean_sprouts,garlic",肉類;米;卵;根菜;葉物野菜
炊き込みご飯,https://www.youtube.com/watch?v=fIvz3jIA74s,fIvz3jIA74s,食事処さくらの料理教室,normal,鶏肉、ご飯・米、油揚げ、ごぼう、にんじん、しいたけ,semi-rich,2,実在YouTube動画,"chicken,rice,aburaage,burdock,carrot,shiitake",鶏肉;米;豆腐・大豆系;根菜;きのこ
ドライカレー,https://www.youtube.com/watch?v=fSyT3DEc9c0,fSyT3DEc9c0,「一品料理」マサちゃんねる,normal,挽肉、ご飯・米、玉ねぎ、にんじん、トマト、ピーマン、カレールゥ,rich,4,実在YouTube動画,"minced_meat,rice,onion,carrot,tomato,bell_pepper,curry_roux",肉類;米;根菜;葉物野菜
キーマカレー,https://www.youtube.com/watch?v=DyIxxtXN_WE,DyIxxtXN_WE,Koh Kentetsu Kitchen【料理研究家コウケンテツ公式チャンネル】,normal,挽肉、ご飯・米、玉ねぎ、トマト、にんにく、ショウガ、カレールゥ,rich,4,実在YouTube動画,"minced_meat,rice,onion,tomato,garlic,ginger,curry_roux",肉類;米;根菜;葉物野菜
生姜焼き,https://www.youtube.com/watch?v=PtAPptQk2Qg,PtAPptQk2Qg,コックさん食堂,normal,豚肉、玉ねぎ、ショウガ,semi-rich,2,実在YouTube動画,"pork,onion,ginger",肉類;根菜
豚キムチ,https://www.youtube.com/watch?v=kDHVcnykE0Q,kDHVcnykE0Q,料理研究家リュウジのバズレシピ,normal,豚肉、玉ねぎ、ネギ,rich,2,実在YouTube動画,"pork,onion,green_onion",肉類;根菜;葉物野菜
回鍋肉,https://www.youtube.com/watch?v=ZAw8shbXJXw,ZAw8shbXJXw,料理研究家リュウジのバズレシピ,normal,豚肉、キャベツ、ピーマン、ネギ、にんにく,rich,4,実在YouTube動画,"pork,cabbage,bell_pepper,green_onion,garlic",肉類;葉物野菜
酢豚,https://www.youtube.com/watch?v=VZE5b85zZBI,VZE5b85zZBI,料理研究家リュウジのバズレシピ,normal,豚肉、卵、にんじん、ピーマン、玉ねぎ,rich,2,実在YouTube動画,"pork,egg,carrot,bell_pepper,onion",肉類;卵;根菜;葉物野菜
鶏の照り焼き,https://www.youtube.com/watch?v=nfLCn1pY9mU,nfLCn1pY9mU,白ごはん.comチャンネル,normal,鶏肉,semi-rich,2,実在YouTube動画,chicken,鶏肉
唐揚げ,https://www.youtube.com/watch?v=joWqjVNoIZc,joWqjVNoIZc,Koh Kentetsu Kitchen【料理研究家コウケンテツ公式チャンネル】,normal,鶏肉、ショウガ、にんにく,rich,5,実在YouTube動画,"chicken,ginger,garlic",鶏肉
